Species	Species_id	Braun-Blanquet	Site	Quadrat	Id
Taraxacum alpinum	Taraxacum alpinum	r	GAL	2	GAL-2
Arabis alpina	Arabis alpina	+	GAL	3	GAL-3
Saxifraga oppositifolia 	Saxifraga oppositifolia	+	GAL	3	GAL-3
Poa alpina	Poa alpina	1	GAL	3	GAL-3
Artemisia genepi	Artemisia genepi	r	GAL	3	GAL-3
Cerastium alpinium	Cerastium alpinium	r	GAL	3	GAL-3
Rumex acetosella	Rumex acetosella	+	GAL	3	GAL-3
Pritzelago alpina	Pritzelago alpina	r	GAL	3	GAL-3
Taraxacum alpinum	Taraxacum alpinum	r	GAL	3	GAL-3
Arabis alpina	Arabis alpina	+	PIC	1	PIC-1
Geum reptans	Geum reptans	+	PIC	1	PIC-1
Leucanthemopsis alpina	Leucanthemopsis alpina	+	PIC	1	PIC-1
Poa alpina	Poa alpina	r	PIC	1	PIC-1
Valeriana saliunca	Valeriana saliunca	+	PIC	1	PIC-1
Taraxacum alpinum	Taraxacum alpinum	+	PIC	2	PIC-2
Poa alpina	Poa alpina	1	PIC	2	PIC-2
Geum reptans	Geum reptans	+	PIC	2	PIC-2
Leucanthemopsis alpina	Leucanthemopsis alpina	+	PIC	2	PIC-2
Ranunculus glacialis	Ranunculus glacialis	r	PIC	2	PIC-2
Galium pseudohelveticum	Galium pseudohelveticum	+	PIC	2	PIC-2
Arabis alpina	Arabis alpina	+	PIC	3	PIC-3
Poa alpina	Poa alpina	+	PIC	3	PIC-3
Galium pseudohelveticum	Galium pseudohelveticum	+	PIC	3	PIC-3
Leucanthemopsis alpina	Leucanthemopsis alpina	r	PIC	3	PIC-3
Arabis alpina	Arabis alpina	r	PIC	4	PIC-4
Geum reptans	Geum reptans	1	PIC	4	PIC-4
Erigeron uniflorus	Erigeron uniflorus	+	PIC	4	PIC-4
Poa alpina	Poa alpina	+	PIC	4	PIC-4
Valeriana saliunca	Valeriana saliunca	1	PIC	4	PIC-4
Leucanthemopsis alpina	Leucanthemopsis alpina	+	PIC	4	PIC-4
Galium pseudohelveticum	Galium pseudohelveticum	+	PIC	4	PIC-4
