Pop,Quad,Var,formula,R2,pval,df,df.res
PIC,2,MinTemp,~ mtemp_Sol_1 + mtemp_30cm_2 + mtemp_2m_2 + max_Sol_1 + max_2m_2 + min_Sol_1 + min_30cm_1 + min_Sol_2 + min_30cm_2 + min_2m_2,0.9105005416370588,2.0933082197567425e-54,11,113
PIC,3,MaxTemp,~ mtemp_Sol_2 + mtemp_30cm_2 + mtemp_2m_2 + max_30cm_1 + max_30cm_2 + min_Sol_1 + min_30cm_1 + min_2m_1,0.7828838333714578,1.9446192129400988e-50,9,164
PIC,3,MeanTemp,~ mtemp_2m_1 + mtemp_Sol_2 + mtemp_30cm_2 + mtemp_2m_2 + max_30cm_1 + max_2m_1 + max_Sol_2 + max_30cm_2 + min_30cm_1 + min_2m_1,0.850026601483747,1.9275576010572398e-61,11,162
PIC,3,MinTemp,~ mtemp_2m_1 + mtemp_Sol_2 + mtemp_30cm_2 + mtemp_2m_2 + max_2m_1 + max_2m_2 + min_Sol_1 + min_2m_1 + min_Sol_2,0.7354945121034785,1.3576966508332714e-42,10,163
PIC,4,MaxTemp,~ mtemp_Sol_2 + mtemp_30cm_2 + mtemp_2m_2 + max_30cm_1 + max_30cm_2 + min_30cm_1 + min_2m_1,0.786983827400108,3.2157090671647573e-43,8,138
PIC,4,MeanTemp,~ mtemp_2m_1 + mtemp_Sol_2 + mtemp_30cm_2 + mtemp_2m_2 + max_30cm_1 + max_2m_1 + max_Sol_2 + max_30cm_2 + min_30cm_1 + min_2m_1,0.8466430958963738,5.627829943335658e-50,11,135
PIC,4,MinTemp,~ mtemp_2m_1 + mtemp_Sol_2 + mtemp_30cm_2 + mtemp_2m_2 + max_2m_1 + max_Sol_2 + max_2m_2 + min_Sol_1 + min_2m_1 + min_Sol_2,0.7810548901740502,1.123185768235261e-39,11,135
VIL,1,MaxTemp,~ mtemp_30cm_1 + mtemp_2m_1 + mtemp_Sol_2 + mtemp_2m_2 + max_Sol_1 + max_Sol_2 + max_30cm_2 + max_2m_2 + min_Sol_1 + min_Sol_2 + min_30cm_2,0.7162923683661103,1.1685418353695857e-36,12,154
VIL,1,MeanTemp,~ mtemp_Sol_1 + mtemp_30cm_1 + mtemp_2m_1 + mtemp_Sol_2 + mtemp_2m_2 + max_Sol_2 + max_2m_2 + min_Sol_1 + min_2m_2,0.8412237172524849,1.0044076094307632e-57,10,156
VIL,1,MinTemp,~ mtemp_Sol_1 + mtemp_Sol_2 + mtemp_30cm_2 + mtemp_2m_2 + max_2m_1 + max_Sol_2 + min_30cm_2,0.8669336556739918,7.846613196864408e-66,8,158
VIL,2,MaxTemp,~ mtemp_30cm_1 + mtemp_2m_1 + mtemp_Sol_2 + mtemp_2m_2 + max_Sol_1 + max_Sol_2 + max_2m_2 + min_2m_1 + min_Sol_2 + min_2m_2,0.7148973683882676,2.6327957620441597e-37,11,155
VIL,2,MeanTemp,~ mtemp_Sol_1 + mtemp_Sol_2 + mtemp_2m_2 + max_30cm_1 + max_2m_1 + max_Sol_2 + max_2m_2 + min_Sol_1 + min_2m_2,0.8520095827958265,4.344363115937109e-60,10,156
VIL,2,MinTemp,~ mtemp_Sol_1 + mtemp_Sol_2 + mtemp_30cm_2 + mtemp_2m_2 + max_2m_1 + max_Sol_2 + max_2m_2 + min_30cm_2 + min_Sol_2,0.8629347123412183,1.1458550140042296e-62,10,156
VIL,3,MaxTemp,~ mtemp_Sol_1 + mtemp_2m_1 + mtemp_Sol_2 + mtemp_2m_2 + max_Sol_1 + max_30cm_1 + max_Sol_2 + max_2m_2 + min_2m_1 + min_Sol_2 + min_2m_2,0.702562218929446,6.986894361508262e-38,12,165
VIL,3,MeanTemp,~ mtemp_2m_1 + mtemp_Sol_2 + mtemp_30cm_2 + mtemp_2m_2 + max_Sol_1 + max_30cm_1 + max_Sol_2 + max_30cm_2 + max_2m_2 + min_2m_1 + min_2m_2,0.8336767008500519,2.2225660062963216e-58,12,165
VIL,3,MinTemp,~ mtemp_Sol_1 + mtemp_Sol_2 + mtemp_30cm_2 + mtemp_2m_2 + max_2m_1 + max_Sol_2 + max_2m_2 + min_30cm_1 + min_2m_1 + min_2m_2,0.8444197658519181,9.767277464547208e-62,11,166
